dishLabel	countryLabel
Crottin de Berry à l’Huile d’Olive	France
tonkatsu	Japan
sujebi	South Korea
tamale	Mesoamerica
tteokbokki	South Korea
koshari	Egypt
moules-frites	Belgium
Loco moco	United States of America (USA)
Lacón Gallego	Spain
Saganaki	Greece
ampyang	Indonesia
Mohnzelten	Lower Austria
tirtlan	Italy
kilishi	Niger
kilishi	Nigeria
red velvet cake	United States of America (USA)
bakmi	Indonesia
Bamba	Israel
unadon	Japan
jambalaya	Louisiana
gu lou juk	China
Q1376963	Occitania
farofa	Brazil
Lohikeitto	Finland
ugali	Kenya
frikandel	Low Countries
Ful medames	Egypt
Möpkenbrot	Germany
Tonno del Chianti	Italy
gnocchi alla romana	Italy
blåbärssoppa	Sweden
grilletta	Germany
ribollita	Italy
lamian	China
Leskovački roštilj	Serbia
Matoke	Uganda
Moros y Cristianos	Spain
Häckerle	Poland
Häckerle	Germany
lontong	Indonesia
Hákarl	Iceland
red curry	Thailand
Syrniki	Eastern Europe
Kaspressknödel	Austria
Q1743404	Austria
Q1752442	Germany
skordalia	Greece
fried bread	Bohemia
fried bread	Moravia
Quatre mendiants	France
Tramezzino	Italy
Pasta con le sarde	Italy
kololak	Armenia
crab soup	France
crab soup	Germany
käsefladen	Switzerland
pissaladière	Italy
pissaladière	France
ostkaka	Sweden
Brussels waffle	Belgium
Lomo saltado	Peru
Malakoff	Switzerland
Sajoer	Indonesia
Mettigel	Germany
Q1960572	Belgium
Amsterdam onion	Netherlands
Jin deui	Indonesia
Flemish-style asparagus	Belgium
Cachupa	Cape Verde
Consommé	France
Pfefferpotthast	Germany
sale pisang	Indonesia
Pâté de campagne	France
Riebel	Austria
lekkerbekje	Netherlands
salt potatoes	United States of America (USA)
salt potatoes	Germany
Q2216200	Russia
serviettenknödel	Austria
serviettenknödel	Germany
serviettenknödel	Czech Republic
Sofrito (stew)	Greece
sour rye soup	Poland
sour rye soup	Bohemia
yaksik	South Korea
wolgwa-chae	South Korea
grass jelly	China
japchae	South Korea
rojak	Indonesia
paprikash	Hungary
Bayrisch Kraut	Germany
Q821733	Germany
lassi	India
bouillabaisse	France
shuizhu	China
coto makassar	Indonesia
yin yang fried rice	China
roast beef	England
cheese on toast	United Kingdom (UK)
osechi	Japan
Q862595	Indonesia
chili	Mexico
tajine	Maghreb
quesadilla	Mexico
Cendol	Indonesia
cocido	Spain
Leberknödel	Austria
Leberknödel	Germany
enchilada	Mexico
carbonara	United States of America (USA)
carbonara	Italy
Mont d'Or chaud	Switzerland
Mont d'Or chaud	France
feijoada	Portugal
Hochzeitssuppe	Germany
Spundekäs	Germany
bobotie	South Africa
takoyaki	Japan
Kongbap	South Korea
Q923440	Germany
galantine	France
soto ayam	Indonesia
fufu	Ghana
gachas	Spain
Avial	India
bocconotto	Italy
Migas	Spain
Potjevleesch	Belgium
salteña	Bolivia
Fabada asturiana	Spain
amatriciana sauce	Italy
buckwheat dumplings	Germany
Ganca	Romania
Caldo galego	Spain
calçotada	Spain
oromo	Kyrgyzstan
ossobuco	Italy
chakalaka	South Africa
chana masala	India
Chartreuse	France
chawanmushi	Japan
fried rice	China
club sandwich	United States of America (USA)
Luther Burger	United States of America (USA)
Lula kebab	Azerbaijan
Lula kebab	Armenia
Lula kebab	Iran
Lula kebab	Central Asia
Lula kebab	South Caucasus
Sarde in saor	Italy
Ndolé	Cameroon
Vorschmack	Eastern Europe
Q2400452	Saxony
Buddha's delight	China
lemper	Indonesia
sate kambing	Indonesia
ayam Taliwang	Indonesia
sayur asem	Indonesia
túrógombóc	Hungary
chè trôi nước	Vietnam
khichri	India
Pom	Suriname
mitraillette	Belgium
bsisa	North Africa
vine leaf roll	Turkey
Ema datshi	Bhutan
Zosui	Japan
dressed herring	Soviet Union
lazanki	Poland
Curd rice	India
sorrel soup	Eastern Europe
huevos rancheros	Mexico
Murukku	India
Dhansak	India
Undhiyu	India
tumpeng	Indonesia
dagobert	Belgium
Ablo	Togo
Ablo	Benin
Ablo	Ivory Coast
Ahriche	Morocco
Judías de El Barco de Ávila	Spain
Alouettes sans tête	Provence
albanian stew	Albania
Q2849806	Spain
Bai ye	China
Conejo en salmorejo	Spain
rousong	Japan
rousong	China
rousong	China
Zagorski Štrukli	Croatia
Pkaila	Tunisia
Fettuccine Alfredo	United States of America (USA)
Fettuccine Alfredo	Italy
Piyaz	Turkey
Piyaz	Iran
Piyaz	Iraq
Pan-bagnat	France
Bougna	New Caledonia
brissaouda	France
Brouet	Ancient Greece
caricole	Belgium
Champurrado	Mexico
Chebakia	Ottoman Empire
Chrik	Algeria
Cocas	Algeria
Coratella	Italy
Cotriade	France
Q2998748	France
Dibi	Senegal
Djenkoume	Togo
Kalamay	Philippines
Esqueixada	Spain
Usban	Tunisia
Usban	Libya
Q3059025	France
waffle	France
hamburger	United States of America (USA)
hamburger	Germany
crêpe	Russia
mille-feuille	France
fideuà	Spain
lasagna	Italy
spätzle	France
paper covered bone	China
pancake	United States of America (USA)
Bun cha	Vietnam
muesli	Switzerland
cold borscht	Lithuania
Ahle Wurst	Hesse
pemmican	North America
rijstevlaai	Belgium
rijstevlaai	Netherlands
dhokla	India
falafel	Egypt
falafel	Iran
French toast	France
Salisbury steak	United States of America (USA)
goulash	Hungary
gado-gado	Indonesia
Niçard salad	France
biangbiang noodles	China
Zwetschkenknödel	Austria–Hungary
manti	Xinjiang
Olivier salad	Russia
mandu	Goryeo
stoemp	Belgium
stoemp	France
Schläsches Himmelreich	Silesia
tarte flambée	France
tarte flambée	Germany
Rumford's Soup	Bavaria
pea soup	Ancient Greece
burrito	Mexico
Papa a la Hancaina	Peru
Onsen tamago	Japan
Chinmi	Japan
pepernoot	Netherlands
amuse-bouche	France
pilaf	Iraq
pilaf	Syria
Red beans and rice	United States of America (USA)
samosa	Iran
gimbap	South Korea
hotteok	South Korea
Pizza Margherita	Italy
coronation chicken	United Kingdom (UK)
Bauernfrühstück	Germany
hujiao bing	China
Utopenec	Bohemia
bánh bao	Vietnam
bánh chưng	Vietnam
Balkenbrij	Netherlands
lángos	Hungary
kapsalon	Netherlands
Hawaiian pizza	Canada
refried beans	Mexico
brem	Indonesia
Mititei	Romania
kalakukko	Finland
Lampredotto	Italy
Q618291	Europe
Shkedei marak	Israel
cacciatore	Italy
rempeyek	Indonesia
bibimbap	South Korea
muffuletta	United States of America (USA)
carrot cake	Switzerland
carrot cake	France
Frankfurter Würstchen	Germany
Gilda	Basque Autonomous Community
Q3108857	Tunisia
Q3143540	France
kefteji	Tunisia
otak-otak	Indonesia
nasi uduk	Indonesia
nasi kucing	Indonesia
nasi kuning	Indonesia
Kyaraben	Japan
nasi campur	Indonesia
chả cá Lã Vọng	Vietnam
tostada	Mexico
Negimaki	Japan
Negimaki	United States of America (USA)
Mussels marinière	Belgium
Mussels marinière	France
Msoki	Tunisia
Mtewem	Algeria
bird's nest	Belgium
Q3344796	Tunisia
Panisse	Italy
Qingtuan	China
Q3380255	Denmark
Zeeuws spek	Netherlands
Pieds paquets	France
Katemak	Indonesia
klappertaart	Indonesia
Q3396176	Spain
Poularde aux morilles	France
poulet DG	Cameroon
Bottarga de Martigues	France
Q3411523	France
Raviole du Dauphiné	France
Romazava	Madagascar
rougail	France
rougail	Mauritius
Rougail saucisses	France
Sohlob	Algeria
stoemp with sausage	Belgium
gulyásleves	Hungary
sautéed reindeer	Norway
sautéed reindeer	Finland
sautéed reindeer	Sweden
sautéed reindeer	Russia
Tunisian tarte	Tunisia
Q3518777	France
neera	Indonesia
Ça va se savoir	Cameroon
Agliata	Italy
Q3622651	Italy
Arroz con costra	Spain
Pav bhaji	India
brustico	Italy
carne salada	Italy
Q3664285	Italy
Cipollata	Italy
coniglio alla sanremese	Italy
Tigella	Italy
Q3752314	Italy
Q3753375	Hungary
gnocchi in the style of sorrento	Italy
stroganina	Russia
Mazzerelle	Italy
olive all'ascolana	Italy
pane frattau	Italy
Pangiallo	Italy
Topfenknödel	Czech Republic
tuhuk fish satay	Indonesia
pindang ikan Pringsewu	Indonesia
Q108808192	Indonesia
crab bisque	France
Èba	Benin
douida	Morocco
Q109037952	Tunisia
Ifisashi	Zambia
monyo	Benin
Tarte à l'badrée	France
Q109045523	France
Wèli	Benin
Wôkoli	Benin
Q109132624	Turkey
Q109189164	Sweden
Q109310930	Spain
niño envuelto	Argentina
Kaqdoq Minnyaq	Indonesia
Kembung Bertelor	Indonesia
Q109368587	Japan
Whopperitto	United States of America (USA)
Five Guys hamburgers	United States of America (USA)
Q109414823	China
Q109429025	Netherlands
MOS Burger	Japan
lemon ricotta pancakes	United States of America (USA)
Barrel chicken	Taiwan
Stuffed velvet crab	Spain
tsybryki	Belarus
Pizza Poro	Finland
boh puniaram	Indonesia
Yam with cod	Cuba
Jruek Drien	Indonesia
Varză à la Cluj	Romania
soto medan	Indonesia
Arroz con dulce	Puerto Rico
Obe ata	Nigeria
Asaro	Togo
Asaro	Nigeria
Q123009878	Timor-Leste
tagine malsouka	Tunisia
Luwombo	Uganda
Tagarninas o cardillos	Spain
Pizza carrée	Algeria
Ulin-Ulin	Indonesia
Camarão no Bafo	Brazil
Akar Pinang	Indonesia
hatuhūn sogi	China
Topi waja	Indonesia
Bubur gunting	Indonesia
Bubur ayak	Indonesia
Balungan hayam	Indonesia
Garigit	Indonesia
Gandasturi	Indonesia
Pais	Indonesia
Kayu jabuk	Indonesia
Sari pengantin	Indonesia
Randang porridge	Indonesia
Sunduk lawang	Indonesia
Tumpiangin	Indonesia
Sago bread	Indonesia
Katupat balamak	Indonesia
Putu ambung	Indonesia
Ketupat betumis	Indonesia
Tetal	Indonesia
boiled jengkol	Indonesia
jaring beras	Indonesia
klemben	Indonesia
buah jingah	Indonesia
sahoaba	Madagascar
Q123908111	Japan
Q124032346	Norway
Q124048723	Italy
Q124220537	Russia
Q124256242	Norway
Q124285478	India
Q124300008	Indonesia
Queijada de Sintra	Portugal
Q124317263	Armenia
Stuffed Turnips	Palestine
Q124394289	Indonesia
Q124394324	Indonesia
Q124397359	Italy
Ampas Tarigu	Indonesia
Bagea	Indonesia
Q125372981	Italy
Q20113920	Romania
Jalangkote	Indonesia
bulayak satay	Indonesia
Sop saudara	Indonesia
Panrkhash	Armenia
bacem tofu	Indonesia
Taro with yellow sauce	Cameroon
Fenkata	Malta
boeber	South Africa
sholezard	Iran
Relleno Negro	Yucatán
Kue gapit	Indonesia
purslane stew	Turkey
Caluk noodles	Indonesia
Q21126937	Turkey
Rakott krumpli	Hungary
Peruvian pollada	Peru
Russisch ei	Germany
Nyama choma	Kenya
Nyama choma	Tanzania
filet américain	Belgium
Tajine Lham-Lahlou	Algeria
Tajine Lham-Lahlou	Morocco
Q23689485	Austria
Q23807286	Indonesia
Pate acha	Nigeria
Halal snack pack	Australia
Bhendi fry	India
Q25019736	Chile
Tuwo masara (corn meal)	Nigeria
miyar kuka	Nigeria
Efo riro	Nigeria
Kue satu	Indonesia
Afghan salad	Afghanistan
Nsala soup	Nigeria
Indori Poha	India
Xidoufen	Yunnan
goat meat pepper soup	Nigeria
tajine el bey	Tunisia
Q25429699	Portugal
Manuk labakh	Indonesia
Plecing kangkung	Indonesia
nasi guri	Indonesia
Q25466619	Indonesia
Gatot	Indonesia
Tempe Gembus	Indonesia
Q25466948	Indonesia
Q25468249	Indonesia
Gabus pucung	Indonesia
Q25469451	Indonesia
Q25469522	Indonesia
languette	France
Q25541284	Thailand
Q25616486	Netherlands
cherry soup of Sint-Truiden	Belgium
endive with cracklings	Netherlands
Q25640379	Belgium
Q25640559	Netherlands
Q25681686	Netherlands
Q25681718	Netherlands
Japadog	Canada
Q106115046	Bolivia
ranga	Bolivia
chashushuli	Georgia
franciasaláta	Hungary
franciasaláta	Russia
Q106517231	Bulgaria
Fruit Bat Soup	Palau
quesabirria	Mexico
dambu	Niger
dambu	Nigeria
Q107020680	Indonesia
choesels	Belgium
capoun	France
Vepřo knedlo zelo	Czech Republic
Banga rice	Nigeria
Umm Rgaigah	Sudan
Breadfruit Porridge	Nigeria
bambara nut pudding	Nigeria
Spicy cow foot	Nigeria
Abak atama soup	Nigeria
Bambara groundnut	Nigeria
isi ewu	Nigeria
danwake	Nigeria
Peeled Beans Porridge	Nigeria
gizdodo	Nigeria
agidi	Nigeria
Ofe Oha	Nigeria
Bobozee	Nigeria
Groundnut soup	Ghana
Groundnut soup	Nigeria
Achicha Ede	Nigeria
Abacha Ugba	Nigeria
Ekpang Nkwukwo	Cameroon
Ekpang Nkwukwo	Nigeria
Ukpo Ogede	Nigeria
Oil Bean Soup	Nigeria
Banga Rice	Nigeria
Pancake	Nigeria
Okra Soup	Nigeria
Egusi soup	Nigeria
Achi Soup	Nigeria
Gbegiri Soup	Nigeria
Urhobo Owho Soup	Nigeria
Ofe Owerri	Nigeria
African Salad	Nigeria
Garri	Nigeria
African salad	Nigeria
African Rosewood plant	Nigeria
Unripe Plantain Porridge	Nigeria
Köje	Russia
Köje	Kazakhstan
Köje	Kyrgyzstan
Köje	China
Sanga (Meal)	Cameroon
beans and corn porridge	Nigeria
Okoho	Nigeria
Tuwon dawa	Nigeria
Sesame soup	Nigeria
Fura da nono (millet and milk)	Nigeria
Yam porridge	Nigeria
Amiwô	Benin
burrito bowl	United States of America (USA)
chicken burrito	Mexico
Gordon Ramsay's Beef Wellington	England
Tacos de cabeza	Mexico
Q107782305	Czech Republic
Q108047543	Czech Republic
martino	Belgium
Meulemeester eggs	Belgium
Q108311129	Romania
tfaya	Morocco
parrozzo	Italy
Pasta mollicata	Italy
Q3897490	Italy
Q3899347	Italy
Q3900704	Italy
es doger	Indonesia
Wereszczaka	Lithuania
sangrecita	Peru
Q3953085	Italy
sformato	Italy
Q3973633	Italy
Q4014718	Italy
Zuppa gallurese	Italy
Aczma	Georgia
lumpia Semarang	Indonesia
Q4145098	Russian Empire
Bazeen	Libya
nagasari	Indonesia
Oncom	Indonesia
botok	Indonesia
bubur kacang hijau	Indonesia
lawar	Indonesia
pempek	Indonesia
rice lengko	Indonesia
lupis	Indonesia
karedok	Indonesia
nasi kebuli	Indonesia
Sangsang	Indonesia
urap	Indonesia
bakwan	Indonesia
Blanched Shrimp Noodle Soup	Indonesia
combro	Indonesia
geplak	Indonesia
tongseng	Indonesia
Papeda	Indonesia
mimosa salad	Soviet Union
Q4305242	Russia
Q4305242	Belarus
Q4305242	Ukraine
mujuji	Georgia
Q4307698	Rosselló
heotjesabap	South Korea
rasstegai	Russia
Tandyr kebab	China
yurma	Russia
Amala	Nigeria
Tempoyak	Indonesia
Arsik	Indonesia
asam pedas	Indonesia
Babute	Democratic Republic of the Congo
Balila	Lebanon
bean pie	United States of America (USA)
pepes	Indonesia
betutu	Indonesia
Bika Ambon	Indonesia
Nasi ulam	Indonesia
Buntil	Indonesia
bánh bèo	Vietnam
bánh cáy	Vietnam
bánh rế	Vietnam
bánh tét	Vietnam
cabbage casserole	Finland
cacio e pepe	Italy
Casado	Costa Rica
Cağ kebabı	Turkey
celery Victor	United States of America (USA)
Chocolate marquise	France
Cimpa	Indonesia
City chicken	United States of America (USA)
Serabi	Indonesia
corn crab soup	China
corn fritter	Indonesia
Crab Louie	United States of America (USA)
Crawfish Monica	United States of America (USA)
cốm	Vietnam
Dagwood sandwich	United States of America (USA)
Dahi baigana	India
rengginang	Indonesia
kolak	Indonesia
pecel	Indonesia
Onde-onde	Indonesia
Q110134687	Malaysia
Bungong Kayee	Indonesia
Tarana	North Macedonia
Kepta duona	Lithuania
Kepta duona	Latvia
Masnovines	Spain
Q110502590	Norway
Q110821764	China
bánh trôi	Vietnam
bánh chay	Vietnam
Q110887633	Georgia
Mollete	Mexico
Cheela	India
Obwarzanek krakowski	Poland
Supakatsu	Japan
Mollete melenero	Cuba
Q111515886	Japan
Q111817407	Russia
Q111913166	Austria
Kissuto rombo	Angola
Panzaje	Mexico
Q112073845	Russia
Q112075398	Russia
ham rice	Japan
Q112173562	Ukraine
Chanclas poblanas	Mexico
beet kvass	Lithuania
Vitamin salad	Soviet Union
Hojas de parra	Spain
bawin sauce	Ivory Coast
Chilly Gobi	India
Ukwa	Nigeria
Miyar zogale	Nigeria
Ukazi soup	Nigeria
Edo black soup	Nigeria
Egbo	Nigeria
Kekefia	Nigeria
Otong soup	Nigeria
pav gathiya	India
Chocolate lobster	Spain
banjar satay	Indonesia
Q113543725	Q28415738
Q113685888	Brazil
Amtrak Natural Angus Burger	United States of America (USA)
Steamed prawns with garlic	China
Julienke	Belgium
Pudina Khara Pongal	India
Carbonade	France
Q114957843	Italy
Q114957857	Italy
Q114962926	Italy
Q114971907	Italy
Jallullo	Spain
Pancong	Indonesia
Doganitang	South Korea
Ofada rice	Nigeria
sugared cranberries	Belarus
Hủ tiếu	Vietnam
Taktouka	Morocco
Pecel pitik	Indonesia
Eiernockerl	Austria
Ayam masak kicap	Indonesia
babi kecap	Indonesia
Sekba	Indonesia
Paneer makhani	India
Da jiu-jia	Tengchong City
Osmanthus cake	China
Edikang Ikong	Nigeria
Q28496219	Algeria
Ikok	Cameroon
Malarrabia	Peru
Malarrabia	Piura Department
Q28724581	Indonesia
Kue precet	Indonesia
ayam goreng jepara	Indonesia
Q28724890	Indonesia
Q28724892	Indonesia
Q28725121	Indonesia
Q29998523	Spain
caldo moreno	Spain
Q29998722	Spain
Q29998758	Spain
nuégados	Spain
Q29998800	Spain
moje	Spain
ajopuchero	Spain
Hunter's chicken	France
milanesa	Buenos Aires
Lamprais	Sri Lanka
Afang	Nigeria
Java Rice	Philippines
French tacos	France
Potée berrichonne	France
Q30926611	Angolans
Puruvesi vendace	Finland
kacimuih	Indonesia
Sapo tahu	Indonesia
Jengkol Stew	Indonesia
sparrow satay	Indonesia
taichan satay	Indonesia
Tauto Pekalongan	Indonesia
Geonjin noodles	Joseon
Bhoi	Indonesia
Würzfleisch	Germany
Roust	Bangladesh
psari plaki	Greece
Matambre with milk	Uruguay
Q125876944	Algeria
Q125905146	Japan
Q125941414	Algeria
Q126076817	Malawi
Katirisala	Indonesia
Pastasciutta antifascista	Italy
Salade hawaïenne	United States of America (USA)
Pyŏngyang onban	North Korea
batiburrillo	Paraguay
Dal Tadka	India
Bubur ase	Indonesia
skoblyanka	Russia
Q127688644	Russia
lompap daging	Malaysia
Q129652189	Palau
Q129652201	Palau
ubi gaung buluh	Malaysia
Kripanec	Albania
3-in-1	Ireland
Q130307901	Burkina Faso
schnitzel Pavlišov	Czech Republic
Mageli	Indonesia
Marinera	Spain
Panhas	Germany
Q130493939	Ivory Coast
Q130552525	Indonesia
Javanese fritters	Indonesia
Q130559284	Indonesia
sayur rebung	Indonesia
Q130617358	Indonesia
Q130632338	Indonesia
Q130668778	Italy
Obo Ẹgwa	Nigeria
Onunu	Nigeria
Gangan Susupan	Indonesia
Q130899872	Indonesia
Rivers state native soup	Nigeria
Q131122305	Indonesia
Q131142050	Indonesia
Gangan Tatanding	Indonesia
Tumis Kalakai	Indonesia
Q131151109	Indonesia
Ramanonaka	Madagascar
Mahmoosa	Syria
Getuk	Indonesia
dobin mushi	Japan
Doodhpak	India
draw soup	Nigeria
Eba	Togo
Eba	Benin
Eba	Nigeria
chili shrimp	China
Palbochae	China
robatayaki	Japan
orange chicken	United States of America (USA)
empal gentong	Indonesia
Fricot	Acadia
Gavvalu	India
Githeri	Kenya
ragù	Italy
ragù	France
étouffée	United States of America (USA)
Q5657318	Mexico
Q5663844	Spain
Q5669743	Spain
lalak	Algeria
Hawawshi	Egypt
zeytoon parvardeh	Iran
Cushta	Nicaragua
Q5812034	Turkey
Espineta amb caragolins	Spain
Flauta	Mexico
Tah Chin	Iran
Gurullos	Spain
Spam musubi	Hawaii
suimono	Japan
Tatar böreği	Turkey
kağıt kebabı	Turkey
Babuko	Turkey
Babuko	Kurdistan
Naiboa	Venezuela
Elbasan tava	Turkey
Q6041660	Turkey
Tırşik çorbası	Turkey
Pulte	Spain
puçuko	Turkey
Revuelto Gramajo	Argentina
Sopas	Spain
Jiggs dinner	Canada
Kemplang	Indonesia
kerak telor	Indonesia
Ketoprak	Indonesia
Kichadi	India
Kuli-kuli	Nigeria
konro	Indonesia
kotlet schabowy	Poland
Ladob	Seychelles
pitepalt	Sweden
chraime	North Africa
Mafrum	Tunisia
Mafrum	Libya
mabo nasu	Japan
Q115959653	Italy
Q116039190	Russia
Q116204985	Italy
Q116250424	Italy
Q116250839	Spain
Q116622800	Nicaragua
Q116698160	Italy
Q116698172	Italy
Bingka Barandam	Indonesia
Truite meunière	France
Darnitsa bread	Russia
Darnitsa bread	Ukraine
Darnitsa bread	Soviet Union
Q117862884	Vietnam
Q118198446	Italy
Q118304282	Poland
umxhanxa	Zimbabwe
Pundut nasi	Indonesia
Q118726793	Italy
Q118956893	Northern Cyprus
Q119171326	Italy
Unha de caranguejo	Brazil
Adjidjat	Algeria
Q119541331	Indonesia
Satay Tuna	Indonesia
Koyabu	Indonesia
Q119580643	Indonesia
jyu cheung fun	China
kulesha	Ukraine
Mingau de tapioca	Brazil
Ħobż biż-żejt	Malta
Ukanshin ryori	Ryukyu Kingdom
Q121295961	Sweden
Fritanga	Bolivia
evil jungle prince	United States of America (USA)
Q121788204	Armenia
Q121788204	Gyumri
Q121788204	Shirak Province
Avellanate	Spain
Q122370327	Japan
Q122411411	Japan
Q122417599	Cameroon
Macho Camacho	Bolivia
Q122676349	Japan
Q122696086	Italy
potato biryani	India
injo-gogi-bap	North Korea
Q44909552	Austria
KafBikh	Iran
Ewa Agoyin	Nigeria
goan nevri	India
Steak au four	Germany
cipera	Indonesia
bánh đậu xanh	Vietnam
Rendang Itiak	Indonesia
Stuffed Artichoke	Morocco
Lapek bugih	Indonesia
Egyptian Martabak	Indonesia
chả trứng	Vietnam
Q55595875	France
Q55600023	France
Pasta all'Ortolana	Italy
phat kaphrao	Thailand
sambal shrimp	Indonesia
tava	Armenia
Bloke kavla	Slovenia
yusanseul	South Korea
Gaetteok	South Korea
Q55832714	Italy
Q55832716	Italy
Q56040625	Lithuania
Q56231357	Indonesia
asinan Bogor	Indonesia
biapong	Indonesia
carang mas	Indonesia
Cilok Goreng	Indonesia
Cilung	Indonesia
es Goyang	Indonesia
jenang grendul	Indonesia
jenang krasikan	Indonesia
Q56231808	Indonesia
Pepe	Indonesia
Q56231954	Indonesia
