dishLabel	countryLabel
Marrow and Rice	Indonesia
Q56232041	Indonesia
Pacri Nanas	Indonesia
pallu kacci	Indonesia
Q56232108	Indonesia
Q56232138	Indonesia
Q56232200	Indonesia
pindang patin	Indonesia
pothil	Indonesia
pork satay	Indonesia
Q56232277	Indonesia
rabbit satay	Indonesia
conch satay	Indonesia
Soto Bogor	Indonesia
Q56232363	Indonesia
Q56232372	Indonesia
sop ayam	Indonesia
Q56232377	Indonesia
Q56232430	Indonesia
akassa	Togo
akassa	Benin
akassa	Burkina Faso
akassa	Ivory Coast
Q131385571	Italy
Q131605468	Poland
csülök pékné módra	Hungary
Q131720377	Poland
Q131720377	Ukraine
Q131730761	Spain
Q131730761	Italy
Q131730761	Odesa Oblast
Zlijevka	Slovenia
Zlijevka	Croatia
sate klopo	Indonesia
Q132126116	Japan
Q132126118	Japan
Maskurolhi	Maldives
ärter med fläsk	Norway
ärter med fläsk	Finland
ärter med fläsk	Sweden
ärter med fläsk	Denmark
matambre arrollado	Argentina
Q132543024	Kingdom of Bohemia
Category:Likérová špička (Czech Republic)	Czech Republic
Q133261248	Indonesia
Gonré	Burkina Faso
Q133328684	Madagascar
As-sabʿa dūal	Syria
Hummus bil-lahm	Syria
Q133521439	Senegal
Q133521585	Senegal
Q133521607	Senegal
Q133521632	Senegal
Q133521643	Senegal
Q133521658	Senegal
Q133521675	Senegal
Q133521709	Senegal
Q133521758	Senegal
Q133521768	Senegal
Q133521777	Senegal
Koba (sweet)	Madagascar
Q133817716	Madagascar
Q133894419	Bolivia
Q134078348	Aruba
Q134113306	Burkina Faso
Q134593257	Indonesia
Q134613830	Indonesia
Q134621860	Indonesia
Q134731318	Ukraine
Plasas	Ghana
Plasas	Liberia
Plasas	Sierra Leone
Mattar paneer	India
zarb	Palestine
Mexican pizza	Mexico
mi krop	Thailand
Minchee	China
Monte Cristo sandwich	United States of America (USA)
Aqît	Kurdistan
Bêran	Kurdistan
Bîstan	Kurdistan
Bûş	Turkey
Derf	Kurdistan
Dewliser	Kurdistan
Doxave	Kurdistan
Mućkalica	Serbia
Fetîr	Turkey
Gulûl	Kurdistan
Harşo	Kurdistan
Hebnîsk	Kurdistan
Hevrîşk	Kurdistan
Hirçkî	Kurdistan
Hêkerûn	Kurdistan
Nasi bakar	Indonesia
nasi bogana	Indonesia
Nasi liwet	Indonesia
nasi tim	Indonesia
Kalbûnî	Kurdistan
Kesmaşî	Kurdistan
Kuftesîr	Kurdistan
Kumspî	Kurdistan
Kun	Turkey
Kêpayî	Kurdistan
pölsa	Sweden
Maşik	Kurdistan
Meftune	Kurdistan
nettle soup	Turkey
Navoşk	Kurdistan
Q7015856	Turkey
Pîçik	Kurdistan
Qirîs	Kurdistan
Qopo	Kurdistan
Sembîsek	Kurdistan
Serbizêr	Kurdistan
Singûsîr	Bohtan
Soneberî	Kurdistan
Sovanî	Kurdistan
Sînor	Kurdistan
Taweşeht	Kurdistan
ogi	Nigeria
Pallubasa	Indonesia
Pares	Philippines
pasta al pomodoro	Italy
piracaldo	Paraguay
Placenta cake	Roman Empire
poke	United States of America (USA)
Pootharekulu	India
Port sausage	Iran
uih sepit	Indonesia
Açorda	Portugal
Q7367965	Indonesia
Roti buaya	Indonesia
Roti buaya	Jakarta
Roti john	Singapore
kue leker	Indonesia
Pelara	Malaysia
rujak cingur	Indonesia
Sate padang	Indonesia
Slemang	Malaysia
Soto Madura	Indonesia
Rice Jamblang	Indonesia
tahu sumedang	Indonesia
Shark chutney	Seychelles
Shrimp Creole	United States of America (USA)
Sindhi biryani	Pakistan
Siomay	Indonesia
skirlie	Scotland
Snow White salad	Bulgaria
stuffed onions	Turkey
soup joumou	Haiti
spaghetti with meatballs	United States of America (USA)
Spanakorizo	Greece
sushi pizza	Canada
swikee	Indonesia
Tekwan	Indonesia
tetrazzini	United States of America (USA)
Dali ni Horbo	Indonesia
gỏi cuốn	Vietnam
Tinutuan porridge	Indonesia
akassa	Nigeria
Molotof	Portugal
Tsybulnyki	Ukraine
Q56322334	Tirana
Q56391757	Indonesia
Citruk	Indonesia
Q56392589	Indonesia
man reman	Indonesia
Q56394196	Indonesia
Pelleng	Indonesia
Rendang lokan	Indonesia
Q56411494	Indonesia
pempek lenggang	Indonesia
bipang	Indonesia
komo satay	Indonesia
Q58090266	Indonesia
bikang	Indonesia
Q58090327	Indonesia
Rusip	Indonesia
Danguang-Danguang satay	Indonesia
Q58339162	Indonesia
Smoked Roa Fish Sauce	Indonesia
Mariscal	Chile
picada	Uruguay
picada	Argentina
Humba	Philippines
Salukara	Philippines
Moche	Philippines
Mache	Philippines
Masi	Philippines
Goto	Philippines
Panyalam	Philippines
Paelya	Spain
Paelya	Philippines
Sayongsong	Philippines
Q60974738	Soviet Union
Wing Bean Salad	Thailand
Q61075655	Turkey
Chifteluțe marinate	Romania
kewa datshi	Bhutan
Q61114577	Bhutan
Q61117066	Indonesia
kvrguša	Bosnia and Herzegovina
leskovačka kavurma	Serbia
Sylheti Duck Bamboo	Bangladesh
Soft Khichuri	Bangladesh
Q61984600	Indonesia
Belgian waffle	Belgium
baccalà mantecato	Italy
Q63522006	Italy
Trippa alla romana	Italy
Mexican rice	Mexico
beef and broccoli	United States of America (USA)
Saucisson chaud	France
Burger King Hash Browns	United States of America (USA)
Burger King French Toast Sticks	United States of America (USA)
Burger King Onion Rings	United States of America (USA)
Cheetos Chicken Fries	United States of America (USA)
Chick-fil-A Chicken Sandwich	United States of America (USA)
Silog	Philippines
Sinigapuna	Philippines
Kikomando	Uganda
Q65048859	China
Binakle	Philippines
Kiampong	Philippines
Khao mu daeng	Thailand
Babbouche	Morocco
Q65132461	Italy
tabernero	Spain
lembut satay	Indonesia
Tipatipa	Indonesia
tirokafteri	Greece
torikatsu	Japan
Tunde ke kabab	India
Turli Tava	North Macedonia
Vaho	Nicaragua
zarda	India
bok l'hong	Cambodia
frit mallorquí	Mallorca
Migas alentejanas	Portugal
Q9079488	Indonesia
Rumpuć	Poland
Q9482241	Spain
Efó	Brazil
Ekuru	Nigeria
Q10280348	Portugal
Fenek	Malta
Q10299545	China
Iscas	Portugal
Jopara	Paraguay
Grilled Lapas	Portugal
Virado	Brazil
Xerém	Portugal
Q10396701	China
stir-fried milk	China
Savory rice pudding	Taiwan
Octopus-shaped sausages	Japan
Q10463623	China
Grytbit	Sweden
Q10547054	Sweden
Q10624825	Mexico
Rörost	Sweden
saffron pancake	Sweden
Tjälknöl	Sweden
Ungui	Mexico
huitlacoche	Mexico
Äggakaka	Sweden
äggost	Sweden
kaki no ha zushi	Japan
Empanadilla	Peru
Empanadilla	Philippines
Q10954885	Indonesia
Bingka	Indonesia
timphan	Indonesia
Pekasam	Indonesia
sate madura	Indonesia
seruit	Indonesia
patriotic soup	China
sarmale	Romania
arem-arem	Indonesia
Cenil	Indonesia
Boiled blood curd	China
Cimol	Indonesia
cilok	Indonesia
Q11252676	Joseon
Q11258867	Japan
radhkha	Tunisia
Soup Kandia	Senegal
Vermicelle Poulet	Senegal
Boko Boko Harees	Burundi
Banana Breakfast Cookies	Africa
Thiebou Yapp	Senegal
Dibi	Senegal
Acara	Senegal
Madd	Senegal
Lakh	Senegal
Sombi	Senegal
Bouye Juice	Senegal
Calulu and Funge	Angola
Calulu and Funge	Sao Tomeans
Q135509581	Democratic Republic of the Congo
Q135512325	Morocco
Pithali	Bangladesh
Esh	Chad
dough-sealed soup	Mongolia
Lontar cake	Indonesia
pesto pasta	Italy
Q135826435	Sardinia
Q135826755	Italy
Q135827263	Italy
Q135827542	Italy
Q135827876	Italy
Q135907082	Morocco
Hot beef commercial	United States of America (USA)
Koki	Cameroon
Q135927604	Morocco
Wild rice salad	United States of America (USA)
Birchermuesli	Switzerland
Q136230569	Poland
Ayaraya Oka	Nigeria
Ayaraya Oka	Enugu State
Ayaraya Oka	Nsukka/Igbo-Eze South
Zenne pot	Belgium
cod au gratin	Canada
White Amala	Nigeria
Iyan	Nigeria
Ikọkọrẹ	Nigeria
Asun-iṣu	Nigeria
Elubọ Ẹbẹ	Nigeria
Ọjọjọ	Nigeria
Lafun	Nigeria
Bẹju	Nigeria
Iṣapa	Nigeria
Burukutu	Nigeria
Plantain Fufu	Nigeria
Q136500311	France
Q136529251	Indonesia
zarzuela	Spain
Q136648172	Italy
Disco fries	United States of America (USA)
busiate with Trapanese pesto	Italy
Obaruša	Serbia
Pollo al carbon	Mexico
Q136747335	Italy
Q136747343	Italy
Q136747361	Italy
Q136747391	Italy
Q136747403	Italy
Q136747452	Italy
Q136747461	Italy
Itoko-ni	Japan
Enokoro meshi	Japan
Q11261837	Japan
Okosama lunch	Japan
Q11268875	Japan
Shoyumame	Japan
shirasudon	Japan
Q11271361	Japan
tarako spaghetti	Japan
Dojo doufu	Japan
hatto	Japan
Q11279243	Japan
Fukagawa-meshi	Japan
kani-jiru	Japan
tanmen	Japan
pizza toast	Japan
Q11395299	Japan
Kitakata Ramen Burger	Japan
Abekawamochi	Japan
Odawaradon	Japan
Kumamoto ramen	Japan
niku sui	Japan
Sakata ramen	Japan
keichan	Japan
Kagoshima ramen	Japan
Arròs al forn	Spain
Ouarka	Morocco
Prażonki	Poland
Prażucha	Poland
dishwasher salmon	United States of America (USA)
Hotsi	Finland
lokša	Slovakia
muvi	Russia
Q12047663	Bohemia
Q12047663	Moravia
smaženice	Bohemia
smaženice	Moravia
Q12117602	Ukraine
Cheer	Ukraine
shpundra	Ukraine
Q12187758	Jordan
Q12192208	Libya
Bāṭarsh	Syria
Halawet el Jibn	Syria
Q12224442	Saudi Arabia
galayet bandora	Jordan
Mebakbeka	Libya
Hormigo	Spain
mish-mash	Bulgaria
Petatou	France
kiluvõileib	Estonia
Q12412201	Caucasus
Bara	India
ayam tangkap	Indonesia
Yellow tail fish balls	Indonesia
balado	Indonesia
bir pletok	Indonesia
Tempong	Indonesia
Bongko mento	Indonesia
Brayo	Indonesia
Celimpungan	Indonesia
colenak	Indonesia
Dengke Mas Naniura	Indonesia
doclang	Indonesia
Dawet	Indonesia
Q65210405	Indonesia
Q65210412	Indonesia
Jadah manten	Indonesia
Bakakak hayam	Indonesia
asem satay	Indonesia
milk beef satay	Indonesia
Q65213802	Indonesia
Q65215552	Hungary
gamjabap	South Korea
Q65236023	Finland
bubur kampiun	Indonesia
Gulai tunjang	Indonesia
upka	Tajikistan
No htamin	Myanmar
cangkaruk	Indonesia
Putri noong	Indonesia
waina	Nigeria
warm goat cheese salad	France
Applebee's Spinach + Artichoke Dip	United States of America (USA)
Q66486516	Ukraine
Chicken Wonton Tacos	United States of America (USA)
Carne polaca	Mexico
Sochen'	Kievan Rus'
Q68098673	Germany
chicken-fried chicken	United States of America (USA)
Nộm hoa chuối	Vietnam
Liver mousse	France
Panada	Indonesia
Karupuak jariang	Indonesia
tempura udon	Japan
Carthay Signature Fried Biscuits	United States of America (USA)
Västerbottensostpaj	Sweden
gulai tambunsu	Indonesia
Señor Croque	United States of America (USA)
Adobong pugita	Philippines
Poqui poqui	Philippines
bourekas	Israel
Tuwon shinkafa	Nigeria
catless	France
catless	Mauritius
Papari	Indonesia
Ayam kodok	Indonesia
Burmese fried rice	Myanmar
Cassia flower bud salad	Myanmar
Daral	Philippines
Fatoot samneh	Israel
Fritas de prasa	Israel
griot	Haiti
Hsi htamin	Myanmar
Shirin polo	Iran
Shwe htamin	Myanmar
wasawasa	Ghana
bossam-kimchi	North Korea
repocheta	Nicaragua
Vincisgrassi alla maceratese	Italy
Q87628536	Japan
Stuffat tal-fenek	Malta
Obispo	Mexico
Q88996666	Belgium
Rabbit with chocolate	Spain
Q91019397	Russia
Pizza quattro formaggi	Italy
Bananas Foster French toast	United States of America (USA)
Bananas Foster ice cream	United States of America (USA)
shrimp étouffée	United States of America (USA)
crawfish étouffée	United States of America (USA)
vegan jambalaya	United States of America (USA)
jerk chicken	Jamaica
alligator po' boy	United States of America (USA)
Roast beef po' boys	United States of America (USA)
crawfish bread	United States of America (USA)
lumberjacks’ dumplings	Austria
Balsamic Roasted Turkey Salad	United States of America (USA)
Mar-a-Lago Turkey Burger	United States of America (USA)
Garang Asem	Indonesia
Getuk pero	Indonesia
Getuk Goreng	Indonesia
kuwah itek	Indonesia
kuwah eungkôt yèe	Indonesia
Itak Gurgur	Indonesia
Kapurung	Indonesia
Kelan Antep	Indonesia
Skin Crackers	Indonesia
Getuk kicak	Indonesia
Klenyem	Indonesia
kuah beulangong	Indonesia
pohulpohul	Indonesia
lampet	Indonesia
Ombusombus	Indonesia
kue lumpur	Indonesia
Kuluban	Indonesia
Kuwah Pliëk U	Indonesia
Laksan	Indonesia
Q12493646	Indonesia
Lema	Indonesia
lentog	Indonesia
Q12494545	Indonesia
Q12495289	Indonesia
Madumongso	Indonesia
Manuk Napinadar	Indonesia
Q12497149	Indonesia
masam keueueng	Indonesia
mendol	Indonesia
Menjes	Indonesia
Q12498863	Indonesia
Q12499048	Indonesia
Nasi gandul	Indonesia
nasi tempong	Indonesia
nopia	Indonesia
Q12501427	Indonesia
Pindang Serani	Indonesia
Q12505591	Indonesia
Q12505887	Indonesia
Pulut	Indonesia
Q12507469	Indonesia
Q12508407	Indonesia
rica-rica	Indonesia
rondho royal	Indonesia
Rujak Kuah Pindang	Indonesia
Q12509009	Indonesia
rujak soto	Indonesia
Sambal goreng	Indonesia
Sambal tuktuk	Indonesia
Q12512184	Indonesia
buffalo satay, kudus	Indonesia
tegal satay	Indonesia
Sate buntel	Indonesia
satay kalong	Indonesia
penyu satay	Indonesia
Q12512533	Indonesia
Q12512535	Indonesia
buah keluak	Indonesia
Semur Jepara	Indonesia
Q12515251	Indonesia
Q12515321	Indonesia
Soto Jepara	Indonesia
Soto Betawi	Indonesia
Q12516005	Indonesia
Soto Kudus	Indonesia
Q12516009	Indonesia
Q12516012	Indonesia
suwar-suwir	Indonesia
Q12518570	Indonesia
Kue talam	Indonesia
tengkleng	Indonesia
Q12520862	Indonesia
timlo	Indonesia
Q12522064	Indonesia
Q12524379	Indonesia
Q12524380	Indonesia
yangko	Indonesia
Q12531830	Kazakhstan
Bokpe	Kazakhstan
Q12539537	United Kingdom (UK)
Grechanyky	Belarus
Grechanyky	Ukraine
Zhent	Central Asia
Q12545958	Kazakhstan
meat jelly	Russia
Nauryz kozhe	Kazakhstan
Nauryz kozhe	Kyrgyzstan
Ovdukh	Azerbaijan
Q12563760	Kazakhstan
Q12564210	Kazakhstan
Q12569285	Tajikistan
Q12570482	Kyrgyzstan
Grilled Kurobuta Pork Belly at Other Mama	United States of America (USA)
Jukkumisamgyeopsal	South Korea
Osambulgogi	South Korea
pizza funghi	Italy
cheese tteokbokki	South Korea
Melchermuas	Austria
Kanji	India
roti bolen	Indonesia
matapa	Mozambique
makaroni schotel	Europe
makaroni schotel	Indonesia
Bazzoffia	Italy
Kue putu mayang	Indonesia
terasi bawang	Indonesia
Janda berenang	Indonesia
Kahangga	Indonesia
Putri mandi	Indonesia
Q97213015	Indonesia
Q97213219	Indonesia
Q97213627	Indonesia
Karupuak jangek	Indonesia
gohu ikan	Indonesia
Kohu-kohu	Indonesia
Sambal ganja	Indonesia
Getas	Indonesia
Kakicak	Indonesia
Mendut cake	Indonesia
Babungku	Indonesia
cingkaruk	Indonesia
Q97308080	Indonesia
Q97308081	Indonesia
Q97347057	Tainan
Bolu kukus	Indonesia
Q97663518	Russia
Q97958890	Yemen
Q97958890	Saudi Arabia
renteng satay	Indonesia
calabash noodle soup	China
gulai kapau	Indonesia
Oret	Indonesia
labra tarkari	India
Q100258323	Yemen
Bitter leaf soup	Nigeria
punten	Indonesia
Bada reuteuk	Indonesia
St. Martin's goose	Austria
Tempe orek	Indonesia
Q102172718	Indonesia
liver stew	Sweden
Tacos de lengua	Mexico
anyang	Indonesia
bika	Indonesia
Q104629646	Indonesia
Gulai tauco	Indonesia
Karupuak lento	Indonesia
Ketan sarikaya	Indonesia
Lapek sagan	Indonesia
Q104641161	Indonesia
Indigirka salad	Russia
sushi burrito	United States of America (USA)
Desperation pie	United States of America (USA)
Soetpatats	South Africa
Q105480600	Indonesia
bubur sada	Indonesia
pempek tunu	Indonesia
cara isi	Indonesia
kue muso	Indonesia
Q12574039	Kazakhstan
Q12574985	Kazakhstan
Älme	Kazakhstan
Q12579156	Kyrgyzstan
dwaeji-gukbap	South Korea
jesa	South Korea
Laksam	Malaysia
tahu campur	Indonesia
Lauvsteik	Norway
Bakalca	Slovenia
Arnavut ciğeri	Turkey
Əzmə	Azerbaijan
Strapatsada	Greece
Kasav	Haiti
Hototay	China
Igado	Philippines
macaroni soup	Italy
Ambur biryani	India
khao kha mu	Thailand
Tomato casserole from Gjakova	Kosovo
Q13091703	Indonesia
Bugis	Indonesia
Cethot	Indonesia
Q13092635	Indonesia
gemblong	Indonesia
Q13093505	Indonesia
lentho	Indonesia
molen banana	Indonesia
klatak satay	Indonesia
maranggi satay	Indonesia
Q13097602	Indonesia
Q13097607	Indonesia
Tiwul	Indonesia
Q13100813	Italy
Q13138574	Netherlands
quanta firfir	Ethiopia
Avanît	Kurdistan
Mertoxe	Kurdistan
Parêv	Kurdistan
Şirdan	Kurdistan
Bullitu	Italy
Q13196930	Italy
Spillonga	Italy
Tunnina	Italy
Tàfara	Italy
Q13199854	Indonesia
Rufioi	Italy
Czech-style hot dog	Czech Republic
sarma	Greece
sarma	Cyprus
sarma	Ottoman Empire
Q13583872	Bohemia
Natinombur	Indonesia
strapačky	Slovakia
jenang kudus	Indonesia
Q14917459	Indonesia
lotek	Indonesia
Run down	Jamaica
Q15401968	Indonesia
Caragolada	Spain
Shkmeruli	Georgia
Pholourie	India
Pholourie	Suriname
Pholourie	Guyana
Pholourie	Trinidad and Tobago
pork liver noodles	China
Lychee pork	China
Napoleon cake	France
Rfiss	Algeria
Q15992463	Algeria
komplet lepinja	Serbia
Q16118267	Syria
Q16131115	Morocco
Thuramanga	India
I fu mie	Indonesia
bakpia	China
bakpia	Indonesia
Roti sai mai	Thailand
Onion casserole from Gjakova	Kosovo
Mulgikapsad	Estonia
Bibikkan	Sri Lanka
Acewwaḍ	Algeria
Adghess	Algeria
civet de chevreuil	France
Q16565420	Poland
Gushtab	India
Q16628274	Algeria
Q16631717	Algeria
Q16640148	Algeria
Q16680140	Algeria
Q16680161	Algeria
Q16680163	Algeria
Q16683902	Algeria
Mett	Germany
Lontong dekem	Indonesia
mie ayam	Indonesia
Putri salju cake	Indonesia
Bubur ketan hitam	Indonesia
Ayam goreng	Indonesia
spicy porridge	Indonesia
Snail satay	Indonesia
bekasang	Indonesia
Maboké	Central African Republic
pârjoale	Moldavia
Kashk e badamjan	Iran
es goyobod	Indonesia
Stuffed mallow	Turkey
es buah	Indonesia
Khanom thuai	Thailand
palm nut soup	Nigeria
empal gepuk	Indonesia
Nasi padang	Indonesia
chimole	Belize
Olluquito	Peru
Orzotto	Italy
Koba	Madagascar
Ukodo	Nigeria
Usi	Nigeria
Tong bat lat	China
Q17165588	Denmark
Aftir oukessoul	Algeria
Q17174348	Algeria
Q17228051	Japan
fırın sütlaç	Turkey
Soparnik	Croatia
Pelau	Trinidad and Tobago
Pelau	Dominica
Pelau	Guadeloupe
Saumon à l'oseille	France
Q17630576	Italy
Q17639757	Tunisia
Q17640050	Algeria
kue rangi	Indonesia
Angsle	Indonesia
Q17998371	Indonesia
ayam goreng Kalasan	Indonesia
Babi panggang karo	Indonesia
Q17998681	Indonesia
Bakso Balungan	Indonesia
Q17998983	Indonesia
barongko pisang	Indonesia
Beberuk terong	Indonesia
Q17999853	Indonesia
Crab jujube	China
pu phat phong kari	Thailand
omo tuo	Ghana
Pukala	Nepal
Q18433958	Poland
Ngoc Duong	Vietnam
Clot soup	Finland
Çoban kavurma	Turkey
mala hot pot	China
Kaz tiridi	Turkey
okra soup	Nigeria
sate lilit	Indonesia
Buttered rice	Myanmar
Q19717186	Spain
fava	Turkey
binte biluhuta	Indonesia
Bulung	Indonesia
dadar gulung	Indonesia
getuk pisang	Indonesia
Q19726067	Indonesia
Horok-horok	Indonesia
Kasuami	Indonesia
Q19727676	Indonesia
keumamah	Indonesia
kue ape	Indonesia
Q19728565	Indonesia
Nasi Brongkos	Indonesia
Q19729632	Indonesia
Ongol-ongol	Indonesia
Q19729918	Indonesia
opor kambing	Indonesia
pallu butung	Indonesia
Q19731618	Indonesia
sambal asam udueng	Indonesia
Sambal pepaya	Indonesia
Sambalingkung	Indonesia
ambal satay	Indonesia
kikil satay	Indonesia
lalat satay	Indonesia
matang satay	Indonesia
Jepara beef satay	Indonesia
Q19732014	Indonesia
Seblak	Indonesia
sengkulun	Indonesia
sie reuboh	Indonesia
Q19738024	Indonesia
Mi gomak	Indonesia
Pindang	Indonesia
soto tangkar	Indonesia
tapai singkong	Indonesia
Bongkrèk tempeh	Indonesia
Q19744568	Indonesia
Q19745939	Indonesia
Keukarah	Indonesia
Q19746080	Indonesia
Q19746110	Indonesia
Q19746189	Indonesia
Meuseukat	Indonesia
Javanese fried rice	Indonesia
nasi langgi	Indonesia
Q19747105	Indonesia
roti gambang	Indonesia
Q19747627	Indonesia
Q19747721	Indonesia
Tasak telu	Indonesia
Q19748867	Indonesia
adrem	Indonesia
Q19749219	Indonesia
Q19749222	Indonesia
düğün çorbası	Turkey
Q1674567	Austria
corn dog	United States of America (USA)
Rogan josh	Iran
Okinawa soba	Japan
Porkkanalaatikko	Finland
crab cake	United States of America (USA)
California roll	United States of America (USA)
crostini	Italy
s'more	United States of America (USA)
gazelle ankles	Maghreb
taquito	Mexico
Mesclun	France
Garbure	France
hallaca	Venezuela
frita	Algeria
Gardiane de taureau	France
espetada	Portugal
Ghapama	Armenia
stuffed peppers	Italy
hwajeon	South Korea
champon	Japan
Rice with chicken a la chorrera	Cuba
gowi nitutu	Indonesia
Q108759512	Indonesia
Nachos at Maya	United States of America (USA)
Pichón de Cliza	Bolivia
Abak Soup	Nigeria
Korokke soba	Japan
Karsi khorovats	Armenia
Mshosh	Armenia
Chicken chop	Malaysia
krupky (food)	Ukraine
Q137039330	France
Inasua	Indonesia
Padamaran	Indonesia
Q105529039	Indonesia
Bola Ubi	Indonesia
rendang maco	Indonesia
Rendang jariang	Indonesia
kerupuk puli	Indonesia
dumbleng	Indonesia
kubang boyo	Indonesia
Q105561074	Indonesia
pempek lenjer	Indonesia
Q105616883	Indonesia
Danbing	Taiwan
nasi tumpang	Indonesia
petis	Indonesia
Pukis	Indonesia
Q19951699	France
Callos con garbanzos	Turkey
rosto	Gibraltar
Mallung	Sri Lanka
Mandrykas	Ukraine
Tuo Zaafi	Ghana
